repo,compte,titre,url,theme,code_theme,type,http,cree,fiche
"ouaisfieu/laGarde","ouaisfieu","Le Cinquième Pouvoir Associatif — Site","https://ouaisfieu.github.io/laGarde/","Documentation & archives","DOC","documentation","200","2025-12-30","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-lagarde/"
"ouaisfieu/mikey","ouaisfieu","Portail GOO Hardcore · Univers 12,50","https://ouaisfieu.github.io/mikey/","Documentation & archives","DOC","hub","200","2025-11-27","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-mikey/"
"ouaisfieu/mouse","ouaisfieu","Portail GOO Hardcore · Univers 12,50","https://ouaisfieu.github.io/mouse/","Documentation & archives","DOC","hub","200","2025-11-27","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-mouse/"
"ouaisfieu/mr","ouaisfieu","Le Mouvement Réformateur belge en 2026 — Dossier","https://ouaisfieu.github.io/mr/","Documentation & archives","DOC","documentation","200","2026-08-22","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-mr/"
"ouaisfieu/origines","ouaisfieu","Origines — un site sur les origines de la vie","https://ouaisfieu.github.io/origines/","Documentation & archives","DOC","documentation","200","2026-07-31","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-origines/"
"ouaisfieu/ouaisfieu.github.io","ouaisfieu","Ouaisfi·eu — juste pour info","https://ouaisfieu.github.io/","Documentation & archives","DOC","hub","200","2025-07-09","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-ouaisfieu-github-io/"
"ouaisfieu/portail","ouaisfieu","Index Ouaisfieu × Yannkeep — dossiers, outils & archives","https://ouaisfieu.github.io/portail/","Documentation & archives","DOC","hub","200","2026-08-07","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-portail/"
"ouaisfieu/PRdulac","ouaisfieu","Dossier — Media Live (offline, sans CDN)","https://ouaisfieu.github.io/PRdulac/","Documentation & archives","DOC","hub","200","2025-12-29","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-prdulac/"
"ouaisfieu/rapport","ouaisfieu","Années de plomb en Belgique (1979-1985) — dossier documentaire","https://ouaisfieu.github.io/rapport/","Documentation & archives","DOC","outil","200","2026-08-02","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-rapport/"
"ouaisfieu/s","ouaisfieu","FAUXNET // Portail","https://ouaisfieu.github.io/s/","Documentation & archives","DOC","hub","200","2025-11-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-s/"
"ouaisfieu/tona","ouaisfieu","TONA — Comprendre la guerre cognitive","https://ouaisfieu.github.io/tona/","Documentation & archives","DOC","documentation","200","2026-07-21","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-tona/"
"ouaisfieu/tuto","ouaisfieu","Référencement & découvrabilité : le guide pour débutants","https://ouaisfieu.github.io/tuto/","Documentation & archives","DOC","hub","200","2026-06-27","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-tuto/"
"ouaisfieu/u","ouaisfieu","POLiT!KA — Hub Central","https://ouaisfieu.github.io/u/","Documentation & archives","DOC","hub","200","2026-01-07","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-u/"
"ouaisfieu/w","ouaisfieu","Dossier Veille stratégique & citoyenne","https://ouaisfieu.github.io/w/","Documentation & archives","DOC","hub","200","2025-08-09","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-w/"
"ouaisfieu/wire","ouaisfieu","FAUXNET // Portail","https://ouaisfieu.github.io/wire/","Documentation & archives","DOC","hub","200","2025-11-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-wire/"
"yannkeep/doc","yannkeep","STATION ZERO — Centre de Renseignement","https://yannkeep.github.io/doc/","Documentation & archives","DOC","documentation","200","2026-03-10","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-doc/"
"yannkeep/github.io","yannkeep","CONTRE-FEU","https://yannkeep.github.io/github.io/","Documentation & archives","DOC","hub","200","2026-01-27","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-github-io/"
"yannkeep/libero","yannkeep","COCON SÉMANTIQUE — Pilier Libéral Belge","https://yannkeep.github.io/libero/","Documentation & archives","DOC","documentation","200","2026-02-03","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-libero/"
"yannkeep/nexus","yannkeep","NEXUS — Atlas des GitHub Pages","https://yannkeep.github.io/nexus/","Documentation & archives","DOC","hub","200","2026-08-25","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-nexus/"
"yannkeep/yannkeep.github.io","yannkeep","CONTRE-FEU","https://yannkeep.github.io/","Documentation & archives","DOC","hub","200","2026-01-27","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-yannkeep-github-io/"
"ouaisfieu/affaire-reynders","ouaisfieu","Affaire Reynders — justice de classe, transaction pénale et issues","https://ouaisfieu.github.io/affaire-reynders/","Justice & scandales","JUS","documentation","200","2026-08-10","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-affaire-reynders/"
"ouaisfieu/complot","ouaisfieu","Observatoire du complotisme — dossier de synthèse","https://ouaisfieu.github.io/complot/","Justice & scandales","JUS","documentation","200","2026-08-05","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-complot/"
"ouaisfieu/crime","ouaisfieu","Criminalité en col blanc — le dossier","https://ouaisfieu.github.io/crime/","Justice & scandales","JUS","documentation","200","2026-08-06","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-crime/"
"ouaisfieu/droit","ouaisfieu","Droit belge, expliqué — introduction complète au droit belge","https://ouaisfieu.github.io/droit/","Justice & scandales","JUS","dossier","200","2026-08-08","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-droit/"
"ouaisfieu/fraude","ouaisfieu","Dossier Fraude — Criminalité économique, fraude fiscale & économie souterraine","https://ouaisfieu.github.io/fraude/","Justice & scandales","JUS","documentation","200","2026-08-06","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-fraude/"
"ouaisfieu/greco-belgique","ouaisfieu","La Belgique dans le viseur du GRECO — anatomie d'une non-conformité","https://ouaisfieu.github.io/greco-belgique/","Justice & scandales","JUS","documentation","200","2026-08-13","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-greco-belgique/"
"ouaisfieu/justice","ouaisfieu","Deux poids — les disparités de traitement en Belgique","https://ouaisfieu.github.io/justice/","Justice & scandales","JUS","hub","200","2026-08-07","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-justice/"
"ouaisfieu/justices","ouaisfieu","Justices — Enquête sur une asymétrie belge","https://ouaisfieu.github.io/justices/","Justice & scandales","JUS","documentation","200","2026-08-07","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-justices/"
"ouaisfieu/kazakhgate","ouaisfieu","Kazakhgate et Didier Reynders — dossier documentaire sourcé","https://ouaisfieu.github.io/kazakhgate/","Justice & scandales","JUS","documentation","200","2026-08-11","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-kazakhgate/"
"ouaisfieu/maga-fake-news-deborsu-fraudeurs-polemique-leaks-scandale-confidentiel","ouaisfieu","Audit & Analyse : Économie Contributive Provisionnée","https://ouaisfieu.github.io/maga-fake-news-deborsu-fraudeurs-polemique-leaks-scandale-confidentiel/","Justice & scandales","JUS","dossier","200","2026-01-16","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-maga-fake-news-deborsu-fraudeurs-polemique-leaks-scandale-confid/"
"ouaisfieu/panama-papers","ouaisfieu","Panama Papers : le dossier belge — enquête, acteurs, réformes","https://ouaisfieu.github.io/panama-papers/","Justice & scandales","JUS","documentation","200","2026-08-14","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-panama-papers/"
"ouaisfieu/ping","ouaisfieu","951 € par seconde. Personne ne regarde.","https://ouaisfieu.github.io/ping/","Justice & scandales","JUS","dossier","200","2026-02-20","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-ping/"
"ouaisfieu/qatargate","ouaisfieu","Le Qatargate & l'Épicentre Belge : Analyse & Mutations (2022-2026)","https://ouaisfieu.github.io/qatargate/","Justice & scandales","JUS","expérience","200","2026-08-24","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-qatargate/"
"ouaisfieu/troubles","ouaisfieu","Scandales politico-financiers en Belgique — Troubles","https://ouaisfieu.github.io/troubles/","Justice & scandales","JUS","expérience","200","2026-08-14","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-troubles/"
"ouaisfieu/tux","ouaisfieu","Scandales politico-financiers belges (1988-2026) : chronique sourcée","https://ouaisfieu.github.io/tux/","Justice & scandales","JUS","expérience","200","2026-08-15","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-tux/"
"yannkeep/kazakhgate","yannkeep","Kazakhgate — pouvoirs, réseaux et responsabilités","https://yannkeep.github.io/kazakhgate/","Justice & scandales","JUS","expérience","200","2026-08-11","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-kazakhgate/"
"yannkeep/lex","yannkeep","Scandales politico-financiers belges (1988-2026) — Chronologie","https://yannkeep.github.io/lex/","Justice & scandales","JUS","expérience","200","2026-08-15","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-lex/"
"yannkeep/panama-papers","yannkeep","Panama Papers : Belgique, acteurs, banques et suites 2016-2026","https://yannkeep.github.io/panama-papers/","Justice & scandales","JUS","documentation","200","2026-08-14","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-panama-papers/"
"yannkeep/remous","yannkeep","Remous — Scandales politico-financiers en Belgique","https://yannkeep.github.io/remous/","Justice & scandales","JUS","expérience","200","2026-08-14","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-remous/"
"yannkeep/rtl-deborsu-tous-fraudeurs","yannkeep","Deborsu « Tous Fraudeurs » : analyse du documentaire polémique","https://yannkeep.github.io/rtl-deborsu-tous-fraudeurs/","Justice & scandales","JUS","documentation","200","2026-01-27","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-rtl-deborsu-tous-fraudeurs/"
"yannkeep/tpe","yannkeep","Le prix de la justice — fraude fiscale & transaction pénale en Belgique","https://yannkeep.github.io/tpe/","Justice & scandales","JUS","documentation","200","2026-08-07","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-tpe/"
"ouaisfieu/base","ouaisfieu","ouaisfieu · Base — Intelligence Citoyenne Belge","https://ouaisfieu.github.io/base/","Outils numériques","OUT","hub","200","2026-02-22","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-base/"
"ouaisfieu/catalogue","ouaisfieu","Magasin de fichiers — ouaisfi·eu","https://ouaisfieu.github.io/catalogue/","Outils numériques","OUT","hub","200","2025-07-31","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-catalogue/"
"ouaisfieu/decks","ouaisfieu","Decks — flashcards gamifiées","https://ouaisfieu.github.io/decks/","Outils numériques","OUT","outil","200","2026-07-22","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-decks/"
"ouaisfieu/introspection","ouaisfieu","Introspection — test de personnalité, boussole de valeurs et rapport","https://ouaisfieu.github.io/introspection/","Outils numériques","OUT","outil","200","2026-08-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-introspection/"
"ouaisfieu/magasin","ouaisfieu","Magasin de fichiers — ouaisfi·eu","https://ouaisfieu.github.io/magasin/","Outils numériques","OUT","hub","200","2025-07-30","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-magasin/"
"ouaisfieu/nsiders","ouaisfieu","Rapport d'Investigation : Anatomie d'une Fuite Virale","https://ouaisfieu.github.io/nsiders/","Outils numériques","OUT","outil","200","2026-02-09","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-nsiders/"
"ouaisfieu/PANGO-Z","ouaisfieu","NEXUS — Intelligence Workbench","https://ouaisfieu.github.io/PANGO-Z/","Outils numériques","OUT","laboratoire","200","2025-12-27","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-pango-z/"
"ouaisfieu/poste","ouaisfieu","INTERPELLE TON ÉLU — Générateur de courrier citoyen","https://ouaisfieu.github.io/poste/","Outils numériques","OUT","outil","200","2026-08-11","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-poste/"
"ouaisfieu/rg","ouaisfieu","BROL 2.0 — Dashboard central","https://ouaisfieu.github.io/rg/","Outils numériques","OUT","outil","200","2025-11-23","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-rg/"
"ouaisfieu/sam","ouaisfieu","Markdown Workstation","https://ouaisfieu.github.io/sam/","Outils numériques","OUT","laboratoire","200","2025-12-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-sam/"
"ouaisfieu/sky","ouaisfieu","Markdown Workstation","https://ouaisfieu.github.io/sky/","Outils numériques","OUT","laboratoire","200","2025-12-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-sky/"
"ouaisfieu/stackpen","ouaisfieu","Vite + React","https://ouaisfieu.github.io/stackpen/","Outils numériques","OUT","laboratoire","200","2026-01-04","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-stackpen/"
"ouaisfieu/toolkit","ouaisfieu","Toolkit — poste de travail du plaidoyer citoyen","https://ouaisfieu.github.io/toolkit/","Outils numériques","OUT","outil","200","2026-08-15","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-toolkit/"
"yannkeep/base","yannkeep","ouaisfieu · Base — Intelligence Citoyenne Belge","https://yannkeep.github.io/base/","Outils numériques","OUT","hub","200","2026-02-22","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-base/"
"yannkeep/flashcards","yannkeep","Braise — entretenir la mémoire","https://yannkeep.github.io/flashcards/","Outils numériques","OUT","outil","200","2026-08-16","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-flashcards/"
"yannkeep/offre","yannkeep","Recrue-Zone — Markdown Workstation","https://yannkeep.github.io/offre/","Outils numériques","OUT","laboratoire","200","2026-08-16","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-offre/"
"yannkeep/plaidoyer","yannkeep","#B!Mi — Plaidoyer Citoyen","https://yannkeep.github.io/plaidoyer/","Outils numériques","OUT","outil","200","2026-01-22","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-plaidoyer/"
"yannkeep/pwa","yannkeep","Mémo — Flashcards PWA","https://yannkeep.github.io/pwa/","Outils numériques","OUT","outil","200","2026-08-16","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-pwa/"
"ouaisfieu/alertes-sociales","ouaisfieu","Alertes Sociales Belgique | Surveillance citoyenne des droits sociaux","https://ouaisfieu.github.io/alertes-sociales/","Droits sociaux","SOC","documentation","200","2026-02-09","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-alertes-sociales/"
"ouaisfieu/argep","ouaisfieu","DOCTech | Petit imprécis de pseudoscience sociale","https://ouaisfieu.github.io/argep/","Droits sociaux","SOC","expérience","200","2025-10-17","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-argep/"
"ouaisfieu/carton-rouge","ouaisfieu","Carton rouge — obliger l'État belge à répondre par écrit","https://ouaisfieu.github.io/carton-rouge/","Droits sociaux","SOC","documentation","200","2026-08-19","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-carton-rouge/"
"ouaisfieu/confidentiel","ouaisfieu","Alertes Sociales Belgique | Surveillance citoyenne des droits sociaux","https://ouaisfieu.github.io/confidentiel/","Droits sociaux","SOC","documentation","200","2026-02-09","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-confidentiel/"
"ouaisfieu/essai","ouaisfieu","La Ligne — Dossier citoyen sur la rupture du contrat social belge","https://ouaisfieu.github.io/essai/","Droits sociaux","SOC","documentation","200","2026-07-18","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-essai/"
"ouaisfieu/fable","ouaisfieu","Le Décompte — Piège à l'emploi en Belgique : la série complète","https://ouaisfieu.github.io/fable/","Droits sociaux","SOC","dossier","200","2026-07-15","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-fable/"
"ouaisfieu/moooo","ouaisfieu","Portail — Lieux de liens & Santé mentale (Bruxelles)","https://ouaisfieu.github.io/moooo/","Droits sociaux","SOC","hub","200","2026-01-10","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-moooo/"
"ouaisfieu/non-recours","ouaisfieu","Le non-recours aux droits en Belgique — Observatoire interactif","https://ouaisfieu.github.io/non-recours/","Droits sociaux","SOC","documentation","200","2026-08-24","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-non-recours/"
"ouaisfieu/nyxo-brussels","ouaisfieu","NYXO Brussels — L'Outil Pour Les Gouverner Tous","https://ouaisfieu.github.io/nyxo-brussels/","Droits sociaux","SOC","outil","200","2026-01-11","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-nyxo-brussels/"
"ouaisfieu/tech","ouaisfieu","DOCTech | Petit imprécis de pseudoscience sociale","https://ouaisfieu.github.io/tech/","Droits sociaux","SOC","documentation","200","2025-07-16","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-tech/"
"ouaisfieu/trap","ouaisfieu","Le piège à l'emploi en Belgique — le dossier documentaire (2026)","https://ouaisfieu.github.io/trap/","Droits sociaux","SOC","documentation","200","2026-08-19","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-trap/"
"ouaisfieu/ZON-E42","ouaisfieu","1test1 | 1test1 · ouaisfi.eu","https://ouaisfieu.github.io/ZON-E42/","Droits sociaux","SOC","dossier","200","2025-10-17","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-zon-e42/"
"yannkeep/arizona","yannkeep","Coalition Arizona en Belgique : budget, réformes sociales et Constitution","https://yannkeep.github.io/arizona/","Droits sociaux","SOC","documentation","200","2026-08-07","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-arizona/"
"yannkeep/doctech","yannkeep","DOCTech | Petit imprécis de pseudoscience sociale","https://yannkeep.github.io/doctech/","Droits sociaux","SOC","documentation","200","2026-03-13","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-doctech/"
"yannkeep/petition-deborsu-tous-fraudeurs-docu-fiction-de-serie-B-fraude-sociale-belgique-BIM-CPAS-ACDAB","yannkeep","Tous Fraudeurs Deborsu RTL-TVI : fact-check complet du documentaire","https://yannkeep.github.io/petition-deborsu-tous-fraudeurs-docu-fiction-de-serie-B-fraude-sociale-belgique-BIM-CPAS-ACDAB/","Droits sociaux","SOC","expérience","200","2026-02-02","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-petition-deborsu-tous-fraudeurs-docu-fiction-de-serie-b-fraude-s/"
"yannkeep/tech","yannkeep","DOCTech | Petit imprécis de pseudoscience sociale","https://yannkeep.github.io/tech/","Droits sociaux","SOC","documentation","200","2026-01-25","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-tech/"
"ouaisfieu/arg-engine","ouaisfieu","ARG Mission Engine — Prototype","https://ouaisfieu.github.io/arg-engine/","ARG & expérimentation","ARG","expérience","200","2025-12-30","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-arg-engine/"
"ouaisfieu/claude","ouaisfieu","NYXO • Agence citoyenne de renseignement","https://ouaisfieu.github.io/claude/","ARG & expérimentation","ARG","laboratoire","200","2026-01-10","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-claude/"
"ouaisfieu/demogarchy","ouaisfieu","PROTOCOLE NYXO — Hackez le Piège à l'Emploi","https://ouaisfieu.github.io/demogarchy/","ARG & expérimentation","ARG","laboratoire","200","2026-01-16","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-demogarchy/"
"ouaisfieu/fesefa","ouaisfieu","ARG Psyche Landing","https://ouaisfieu.github.io/fesefa/","ARG & expérimentation","ARG","expérience","200","2025-12-30","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-fesefa/"
"ouaisfieu/ghostnet","ouaisfieu","GHOSTNET v3 // Dark Grid Explorer","https://ouaisfieu.github.io/ghostnet/","ARG & expérimentation","ARG","laboratoire","200","2025-11-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-ghostnet/"
"ouaisfieu/nixo","ouaisfieu","nixo","https://ouaisfieu.github.io/nixo/","ARG & expérimentation","ARG","laboratoire","404","2026-01-10","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-nixo/"
"ouaisfieu/nyxo","ouaisfieu","NYXO — Faux OS en HTML","https://ouaisfieu.github.io/nyxo/","ARG & expérimentation","ARG","laboratoire","200","2025-11-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-nyxo/"
"ouaisfieu/PeTAL","ouaisfieu","PéTAL OS","https://ouaisfieu.github.io/PeTAL/","ARG & expérimentation","ARG","expérience","200","2025-12-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-petal/"
"ouaisfieu/slopib","ouaisfieu","ARG Mission Engine — Mobile","https://ouaisfieu.github.io/slopib/","ARG & expérimentation","ARG","expérience","200","2025-12-31","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-slopib/"
"ouaisfieu/TIjNAG","ouaisfieu","⚔ RÉSISTANCE COGNITIVE — Poste de Travail Plaidoyer Citoyen","https://ouaisfieu.github.io/TIjNAG/","ARG & expérimentation","ARG","outil","200","2026-01-20","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-tijnag/"
"ouaisfieu/wargames","ouaisfieu","Rapport d'Audit Numérique : dl.ouaisfi.eu/usba/","https://ouaisfieu.github.io/wargames/","ARG & expérimentation","ARG","outil","200","2026-01-16","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-wargames/"
"yannkeep/aaarg","yannkeep","AAARG — Fiction politique jouable","https://yannkeep.github.io/aaarg/","ARG & expérimentation","ARG","outil","200","2026-08-16","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-aaarg/"
"yannkeep/geo","yannkeep","GEO — peut-on optimiser un site pour les IA ? Un laboratoire ouvert","https://yannkeep.github.io/geo/","ARG & expérimentation","ARG","laboratoire","200","2026-08-19","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-geo/"
"yannkeep/google","yannkeep","ouaisfieu · Google Dorking Lab","https://yannkeep.github.io/google/","ARG & expérimentation","ARG","laboratoire","200","2026-02-10","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-google/"
"yannkeep/introspection","yannkeep","Clairière — Test de personnalité, boussole de valeurs et journal","https://yannkeep.github.io/introspection/","ARG & expérimentation","ARG","laboratoire","200","2026-08-25","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-introspection/"
"ouaisfieu/dossiers","ouaisfieu","· — · ouaisfi.eu","https://ouaisfieu.github.io/dossiers/","Éducation & culture","EDU","documentation","200","2025-06-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-dossiers/"
"ouaisfieu/education-permanente","ouaisfieu","Éducation permanente — l'éducation populaire en Belgique francophone","https://ouaisfieu.github.io/education-permanente/","Éducation & culture","EDU","documentation","200","2026-08-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-education-permanente/"
"ouaisfieu/epn","ouaisfieu","Inclusion Numérique : EPN & Bibliothèques","https://ouaisfieu.github.io/epn/","Éducation & culture","EDU","laboratoire","200","2026-01-14","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-epn/"
"ouaisfieu/hip","ouaisfieu","Team Building Sectoriel — Éducation Permanente FWB","https://ouaisfieu.github.io/hip/","Éducation & culture","EDU","dossier","200","2025-12-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-hip/"
"ouaisfieu/intelligence-economique","ouaisfieu","Le signal dans le bruit — comprendre l'intelligence économique","https://ouaisfieu.github.io/intelligence-economique/","Éducation & culture","EDU","laboratoire","200","2026-08-01","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-intelligence-economique/"
"ouaisfieu/plaidoyer","ouaisfieu","Atelier plaidoyer — 15 outils vers le changement","https://ouaisfieu.github.io/plaidoyer/","Éducation & culture","EDU","outil","200","2026-07-23","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-plaidoyer/"
"yannkeep/atd","yannkeep","Quartiers de dignité — fan-club non officiel d'ATD Quart Monde","https://yannkeep.github.io/atd/","Éducation & culture","EDU","outil","200","2026-08-23","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-atd/"
"yannkeep/cpcp","yannkeep","Stratégie d'Inclusion : CPCP & Profils Atypiques","https://yannkeep.github.io/cpcp/","Éducation & culture","EDU","laboratoire","200","2026-01-25","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-cpcp/"
"yannkeep/crud","yannkeep","⚡ ATELIERS TERRITORIAUX — Maillage Citoyen","https://yannkeep.github.io/crud/","Éducation & culture","EDU","outil","200","2026-01-28","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-crud/"
"yannkeep/dossier-zero","yannkeep","Dossier zéro — Éducation permanente & reconnaissance UNESCO","https://yannkeep.github.io/dossier-zero/","Éducation & culture","EDU","documentation","200","2026-08-17","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-dossier-zero/"
"yannkeep/education-permanente","yannkeep","Éducation populaire & permanente en Belgique — Savoirs en commun","https://yannkeep.github.io/education-permanente/","Éducation & culture","EDU","expérience","200","2026-08-25","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-education-permanente/"
"yannkeep/mystopnoob","yannkeep","Ateliers Territoriaux — Maillage Citoyen","https://yannkeep.github.io/mystopnoob/","Éducation & culture","EDU","laboratoire","200","2026-01-28","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-mystopnoob/"
"yannkeep/PPR","yannkeep","BROL 2.0 — Dashbo·o·ard centra·a·l","https://yannkeep.github.io/PPR/","Éducation & culture","EDU","laboratoire","200","2026-01-25","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-ppr/"
"yannkeep/start","yannkeep","⚔ RÉSISTANCE — Plaidoyer Citoyen","https://yannkeep.github.io/start/","Éducation & culture","EDU","hub","200","2026-01-20","https://ouaisfieu.github.io/a-propos/atlas/yannkeep-start/"
"ouaisfieu/1007bxl","ouaisfieu","Dossier Blanc : Le Cinquième Pouvoir Associatif","https://ouaisfieu.github.io/1007bxl/","Bruxelles & territoires","BXL","laboratoire","200","2025-12-27","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-1007bxl/"
"ouaisfieu/1160","ouaisfieu","Secteur Associatif Auderghemois (1160) — Rapport Interactif","https://ouaisfieu.github.io/1160/","Bruxelles & territoires","BXL","outil","200","2026-01-12","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-1160/"
"ouaisfieu/bxl2030","ouaisfieu","BXL2030","https://ouaisfieu.github.io/bxl2030/","Bruxelles & territoires","BXL","laboratoire","200","2025-07-03","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-bxl2030/"
"ouaisfieu/bxl2042","ouaisfieu","BXL2042","https://ouaisfieu.github.io/bxl2042/","Bruxelles & territoires","BXL","laboratoire","200","2025-07-04","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-bxl2042/"
"ouaisfieu/conclave","ouaisfieu","Le Conclave — Belgian federal budget simulator (FR / NL / EN)","https://ouaisfieu.github.io/conclave/","Bruxelles & territoires","BXL","expérience","200","2026-08-17","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-conclave/"
"ouaisfieu/nous","ouaisfieu","Nous — Collectif citoyen","https://ouaisfieu.github.io/nous/","Bruxelles & territoires","BXL","laboratoire","200","2026-08-09","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-nous/"
"ouaisfieu/onyx","ouaisfieu","NYXO — Bruxelles (Zones 1km² / Graph)","https://ouaisfieu.github.io/onyx/","Bruxelles & territoires","BXL","laboratoire","200","2026-01-10","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-onyx/"
